Name:	Time of generation: 	 Number of activities: 	 Number of source activities:	Number of sink activities:	Mean number of non-redundant predecessor nodes:	 Number of non-redundant arcs:	Order strength: 	  Number of redundant arcs:	 Number of max time-lags: 	 Number of cycle structures:	 Mean number of nodes per cycle structure: 	Min number of nodes in a cycle structure:	Max number of nodes in a cycle structure:	Number of resources 	Mean principle resource requirement: 	Mean minimal activity duration: 	 Mean maximal activity duration: 	 Resource factor: 	 Resource strength: 	 Network-based LB: 	 UB on optimal makespan:
psp1	2019-10-22 17:30:31	50	15	10	1.76	86	0.42	81	26	5	17.20	10	20	5	26.64	6.44	16.66	0.752	0.05	96	1016
psp2	2019-10-22 17:30:33	50	2	2	1.37	50	0.51	88	14	5	15.20	4	20	5	26.6	6.6	15.98	0.752	0.05	104	971
psp3	2019-10-22 17:30:36	50	14	3	1.75	95	0.40	68	34	2	19.00	18	20	5	24.56	6.56	15.44	0.752	0.05	121	1054
psp4	2019-10-22 17:30:39	50	6	7	1.41	69	0.24	45	14	5	12.00	4	20	5	24.68	6.72	16.42	0.752	0.05	67	966
psp5	2019-10-22 17:30:42	50	8	6	1.52	78	0.34	57	26	4	18.00	16	20	5	27.62	7.04	17.34	0.752	0.05	79	1043
psp6	2019-10-22 17:30:45	50	12	1	1.66	73	0.50	92	25	4	20.00	20	20	5	25.6	6.82	15.14	0.752	0.05	115	960
psp7	2019-10-22 17:30:46	50	7	3	1.45	63	0.40	71	8	1	20.00	20	20	5	25.7	6.68	14.86	0.752	0.05	138	899
psp8	2019-10-22 17:30:49	50	7	6	1.46	71	0.42	66	23	3	18.00	14	20	5	24.16	6.72	15.36	0.752	0.05	111	959
psp9	2019-10-22 17:30:51	50	7	8	1.55	68	0.44	80	15	5	11.20	4	20	5	29.04	7.6	18.58	0.752	0.05	185	1124
psp10	2019-10-22 17:30:54	50	10	5	1.66	72	0.48	91	28	4	15.00	6	20	5	26.62	7.08	17.36	0.752	0.05	137	1140
psp11	2019-10-22 17:30:57	50	1	1	1.25	49	0.37	62	23	3	17.33	12	20	5	24.22	6.9	15.98	0.752	0.05	161	947
psp12	2019-10-22 17:30:59	50	14	11	1.92	107	0.40	73	13	1	20.00	20	20	5	26.66	6.84	16.42	0.752	0.05	69	1047
psp13	2019-10-22 17:31:01	50	6	14	1.68	87	0.33	63	16	4	15.00	4	20	5	27.78	6.76	19.3	0.752	0.05	88	1133
psp14	2019-10-22 17:31:04	50	14	5	1.64	69	0.47	91	20	5	16.80	12	20	5	26.7	6.38	16.1	0.752	0.05	152	1004
psp15	2019-10-22 17:31:07	50	6	5	1.43	61	0.40	71	21	5	12.00	4	20	5	25.5	6.28	17.1	0.752	0.05	149	1000
psp16	2019-10-22 17:31:09	50	5	10	1.49	67	0.38	69	19	2	20.00	20	20	5	25.32	6.48	16.1	0.752	0.05	110	923
psp17	2019-10-22 17:31:11	50	13	15	1.7	83	0.40	76	9	3	10.67	4	20	5	24.08	6.34	14.62	0.752	0.05	137	901
psp18	2019-10-22 17:31:14	50	10	13	1.62	76	0.41	75	17	2	19.00	18	20	5	26.32	7.1	15.4	0.752	0.05	106	975
psp19	2019-10-22 17:31:17	50	10	11	1.71	90	0.40	69	21	5	10.40	4	20	5	25.8	6.86	15.28	0.752	0.05	113	920
psp20	2019-10-22 17:31:19	50	8	11	1.55	79	0.34	59	30	2	20.00	20	20	5	29.6	7.3	19.7	0.752	0.05	104	1215
psp21	2019-10-22 17:31:22	50	14	8	1.58	68	0.44	83	30	3	16.00	8	20	5	27.6	6.6	15.84	0.752	0.05	106	978
psp22	2019-10-22 17:31:24	50	7	1	1.41	53	0.50	87	8	3	12.67	6	20	5	26.4	6.56	15.76	0.752	0.05	114	944
psp23	2019-10-22 17:31:27	50	6	4	1.56	75	0.39	68	30	2	20.00	20	20	5	26.18	6.92	16.08	0.752	0.05	101	975
psp24	2019-10-22 17:31:29	50	3	11	1.28	60	0.25	42	7	4	10.00	4	20	5	25.58	6.46	14.26	0.752	0.05	144	863
psp25	2019-10-22 17:31:34	50	13	7	1.92	112	0.38	66	36	4	17.00	12	20	5	25.8	6.32	17.56	0.752	0.05	96	1092
psp26	2019-10-22 17:31:37	50	2	10	1.29	53	0.35	60	25	3	20.00	20	20	5	25.32	6.78	15.82	0.752	0.05	124	945
psp27	2019-10-22 17:31:39	50	15	13	1.8	101	0.40	67	11	5	10.40	4	14	5	25.98	6.9	15.56	0.752	0.05	78	946
psp28	2019-10-22 17:31:42	50	2	13	1.21	53	0.28	45	17	3	16.00	8	20	5	26.36	6.98	16.9	0.752	0.05	133	1000
psp29	2019-10-22 17:31:44	50	6	4	1.36	69	0.27	42	7	2	10.00	4	16	5	25.4	7.0	15.58	0.752	0.05	75	949
psp30	2019-10-22 17:31:47	50	10	13	1.62	89	0.30	51	28	5	16.40	6	20	5	27.12	7.22	17.54	0.752	0.05	85	1092
psp31	2019-10-22 17:31:50	50	2	4	1.29	54	0.35	59	18	2	18.00	16	20	5	26.32	6.66	15.92	0.752	0.15	124	950
psp32	2019-10-22 17:31:52	50	5	10	1.44	66	0.32	58	26	2	15.00	10	20	5	28.64	7.52	18.74	0.752	0.15	148	1153
psp33	2019-10-22 17:31:55	50	5	9	1.44	65	0.40	68	20	5	13.60	6	20	5	26.32	6.64	16.02	0.752	0.15	129	996
psp34	2019-10-22 17:31:58	50	4	12	1.36	60	0.30	55	16	2	20.00	20	20	5	27.46	7.0	16.76	0.752	0.15	112	1048
psp35	2019-10-22 17:32:00	50	3	13	1.29	60	0.32	50	16	3	16.67	10	20	5	26.2	6.8	16.7	0.752	0.15	126	1008
psp36	2019-10-22 17:32:03	50	12	12	1.74	96	0.35	62	21	4	15.00	10	20	5	26.64	6.94	18.54	0.752	0.15	104	1168
psp37	2019-10-22 17:32:06	50	9	6	1.48	69	0.42	70	28	5	16.80	4	20	5	26.64	6.84	16.18	0.752	0.15	98	925
psp38	2019-10-22 17:32:09	50	9	14	1.47	84	0.20	31	21	3	20.00	20	20	5	27.38	6.6	16.58	0.752	0.15	90	991
psp39	2019-10-22 17:32:12	50	8	8	1.65	86	0.33	61	17	4	13.50	8	20	5	27.6	6.54	15.32	0.752	0.15	95	931
psp40	2019-10-22 17:32:15	50	11	12	1.71	94	0.32	57	34	2	20.00	20	20	5	24.64	6.26	14.78	0.752	0.15	61	942
psp41	2019-10-22 17:32:19	50	13	6	1.73	84	0.41	79	26	4	17.50	10	20	5	26.44	6.42	16.68	0.752	0.15	100	1025
psp42	2019-10-22 17:32:21	50	13	2	1.6	77	0.41	72	16	4	12.50	4	20	5	26.26	7.0	15.78	0.752	0.15	124	963
psp43	2019-10-22 17:32:24	50	2	4	1.26	51	0.40	64	23	2	20.00	20	20	5	28.6	7.36	19.6	0.752	0.15	158	1170
psp44	2019-10-22 17:32:28	50	3	2	1.33	60	0.34	55	24	2	20.00	20	20	5	25.74	6.9	16.56	0.752	0.15	103	977
